,Score,Date,Time ended,Initial
0,2,2018-07-09,3:25,LM
1,0,2018-07-11,10:47,LM
2,0,2018-07-16,2:00,LM
3,0,2018-07-17,2:55 AM,LM
4,0,2018-07-18,n/a,KG
5,0,2018-07-19,10:43,LM
6,0,2018-07-20,1:20,LM
7,0,2018-07-23,10:40,LM
8,0,2018-07-24,11:53,LM
9,0,2018-07-25,10:30,LM
10,0,2018-07-26,10:33,LM
11,0,2018-07-27,11:55,GM
12,0,2018-07-30,10:05,GM
13,0,2018-07-31,11:35,GM
14,0,2018-08-01,11:59,GM
15,0,2018-08-02,10:48,GM
16,0,2018-08-03,10:25,GM
17,1,2018-08-07,12:35,GM
18,50,2018-06-19,10:45 AM,KT
19,54,2018-06-20,2:45 PM,LM
20,53,2018-06-21,12:02 PM,KT
