,Unnamed: 0,Score,Date,Time ended,Initial,Delta,Week
0,0,6,2018-07-09,3:25,LM,19,3
1,1,0,2018-07-12,12:34,LM,22,4
2,2,0,2018-07-16,2:20,LM,26,5
3,3,0,2018-07-17,2:55 AM,LM,27,5
4,4,0,2018-07-18,n/a,RB,28,5
5,5,0,2018-07-19,2:35,LM,29,5
6,6,0,2018-07-20,1:20,LM,30,6
7,7,0,2018-07-23,10:40,LM,33,6
8,8,0,2018-07-24,11:53,LM,34,6
9,9,0,2018-07-25,10:30,LM,35,7
10,10,0,2018-07-26,10:33,LM,36,7
11,11,0,2018-07-27,11:55,GM,37,7
12,12,0,2018-07-30,10:05,GM,40,8
13,13,0,2018-07-31,11:35,GM,41,8
14,14,0,2018-08-01,11:59,GM,42,8
15,15,0,2018-08-02,10:48,GM,43,8
16,16,0,2018-08-03,10:25,GM,44,8
17,17,0,2018-08-07,12:35,GM,48,9
18,18,45,2018-06-20,2:45 PM,LM,0,0
19,19,47,2018-06-21,11:23 AM,KT,1,0
